Rank,Opportunity Name,Award Amount,Deadline,Opens,Score,Eligibility Status,Aerospace/NASA Fit,Action Items,Status,Next Step
15,Collins Aerospace Scholarship,$5000,~Feb 2027,Oct 2026,79,ELIGIBLE,Very High (aerospace supplier; direct pipeline),Systems or propulsion engineering focus,OPENS OCT 2026,Monitor Collins careers Oct 2026
16,Pratt & Whitney Scholarship,$5000,~Feb 2027,Oct 2026,79,ELIGIBLE,CRITICAL (propulsion; direct NASA/aerospace),Propulsion focus essay; strong resume match,OPENS OCT 2026,Monitor P&W careers Oct 2026
17,L3Harris Technologies Scholarship,$5000-$10000,~Feb 2027,Oct 2026,80,ELIGIBLE,Very High (aerospace/defense; diversity focus),Aerospace systems essay; diversity + merit emphasis,OPENS OCT 2026,Monitor L3Harris careers Oct 2026
18,GE Aerospace Scholarship,$5000-$10000,~Mar 2027,Nov 2026,80,ELIGIBLE,Very High (GE Aerospace = industry giant; diversity + merit),Minority aerospace engineering focus,OPENS NOV 2026,Monitor GE careers Nov 2026
19,General Dynamics Scholarship,TBD,TBD,N/A,TBD,PENDING RESEARCH,High (defense/aerospace),Verify current cycle,NEEDS RESEARCH,Research General Dynamics STEM scholarship
20,Northrop Grumman Scholarship,$5000-$10000,~Feb 2027,Oct 2026,82,ELIGIBLE,Very High (aerospace/defense; diversity focus),Engineering + diversity essay,OPENS OCT 2026,Monitor NorthropGrumman careers Oct 2026
21,Tuskegee Airmen Scholarship Foundation,$1500-$6000,~Jan 2027,Nov 2026,80,ELIGIBLE,Very High (aerospace-specific + minority legacy org),Essay on aerospace aspirations; minority aerospace engineer narrative,OPENS NOV 2026,Monitor TASF website Nov 2026
22,National Society of Black Engineers Scholarship,$1000-$5000,~Jan 2027,Sep 2026,82,REQUIRES NSBE MEMBERSHIP,Very High (Black + aerospace engineering + NASA fit),Join NSBE chapter Day 1 at transfer school; GPA verification Sep 1 2026; apply before Jan 2027,OPENS SEP 2026,Enroll Fall 2026; join NSBE immediately
23,NSBE Mamon & Cynthia Powers Scholarship,$10000,~Jul 2027,Apr 2027,83,REQUIRES NSBE MEMBERSHIP,Very High (Black engineering; $10K renewable),Join NSBE Fall 2026; maintain GPA; apply Apr 2027,OPENS APR 2027,Enroll Fall 2026; join NSBE Day 1
24,ScholarSHPE Common Application,$1000-$5000+,~Apr 2027,Feb 2 2027,83,REQUIRES SHPE MEMBERSHIP,Very High (Hispanic engineering; aerospace focus),Join SHPE chapter Day 1 at transfer school; apply Feb 2027,OPENS FEB 2027,Enroll Fall 2026; join SHPE same week
25,Society of Hispanic Professional Engineers ScholarSHPE,$1000-$5000,~Apr 2027,Feb 2027,82,REQUIRES SHPE MEMBERSHIP,Very High (Hispanic STEM engineering),Join SHPE Day 1; apply Feb 2027,OPENS FEB 2027,Enroll Fall 2026; join SHPE same week
26,Congressional Black Caucus Foundation Scholarship,$1500-$10000,~Apr 2027,Jan 2027,82,ELIGIBLE,Medium (Black student + financial need; less aerospace-specific),Leadership + financial need essay; solid secondary option,OPENS JAN 2027,Apply Jan 2027
27,Hispanic Scholarship Fund,$500-$5000,~Feb 2027,Aug 2026,87,ELIGIBLE,Medium (Latino STEM; not aerospace-specific),General engineering + financial need essay; solid secondary,OPENS AUG 2026,Monitor HSF Aug 2026
28,PTK All-USA Academic Team,$2500-$5000,~Jan 2027,Nov 2026,86,VERIFY (CC enrollment required),Medium (PTK competitive honor; transfer-to-4-year timing),Verify if still eligible Fall 2026 after CC transfer; if yes apply Nov 2026,VERIFY ELIGIBILITY,Check PTK website: does All-USA include students transferring in current fall?
29,Phi Theta Kappa Transfer Scholarship,Varies by school,Rolling,Varies,85,ELIGIBLE,Medium (PTK guarantee at many schools),Apply to PTK transfer scholarships at each transfer school acceptance; check ptk.org/scholarships for school-specific awards,APPLY NOW,Research PTK partnerships at each accepted school immediately
30,Elks Most Valuable Student Award,$4000-$50000,~Nov 2026,Sep 2026,79,VERIFY TRANSFER ELIGIBILITY,Medium (large youth scholarship; transfer eligibility uncertain),Verify if transfer students eligible; if yes apply Sep 2026,OPENS SEP 2026,Check Elks.org for transfer student guidelines
31,Tau Beta Pi Engineering Scholarship,$2000-$10000,~Jan 2027,Sep 2026,76,REQUIRES TAU BETA PI,Medium (engineering honor society),Join Tau Beta Pi at transfer school if eligible; apply Jan 2027 if admitted,PENDING TRANSFER ENROLLMENT,Enroll Fall 2026; check TAU membership requirements
32,University of Colorado Boulder Transfer Merit Aid,$2000-$8000/year,Rolling,N/A,80,ACCEPTED,Low (institutional aid; not competitive scholarship),If attending CU Boulder: apply immediately for rolling merit aid,IF CU BOULDER ACCEPTED,Contact CU Boulder financial aid for merit review
33,Iowa State University Transfer Scholarship,$1000-$4000/year,Rolling,N/A,78,ACCEPTED,Low (institutional aid),If attending Iowa State: apply immediately for merit aid,IF IOWA STATE ACCEPTED,Contact Iowa State financial aid for merit review
34,University of Maryland Transfer Merit Scholarship,$1000-$3000/year,Rolling,N/A,75,ACCEPTED,Low (institutional aid),If attending Maryland: apply immediately for merit aid,IF MARYLAND ACCEPTED,Contact UMD financial aid for merit review
35,Ohio State Transfer Scholarship,$2000-$5000/year,Rolling,N/A,75,ACCEPTED,Low (institutional aid),If attending Ohio State: apply immediately for merit aid,IF OHIO STATE ACCEPTED,Contact Ohio State financial aid for merit review
36,Virginia Tech Transfer Merit Scholarship,$2000-$5000/year,Rolling,N/A,76,ACCEPTED,Low (institutional aid),If attending VT: apply immediately for merit aid,IF VIRGINIA TECH ACCEPTED,Contact VT financial aid for merit review
37,Georgia Tech Transfer Merit Scholarship,$2000-$8000/year,Rolling,N/A,82,PENDING ADMISSION,CRITICAL if accepted (top aerospace program),If GT accepts: contact financial aid immediately; top-tier aerospace engineering program,PENDING GT ADMISSION,Upon acceptance: apply same day for merit aid
38,Purdue University Minority Engineering Scholarship,$2000-$6000/year,Rolling,N/A,77,PENDING ADMISSION,Very High if accepted (top aerospace program),If accepted: contact engineering financial aid for minority scholarship review,PENDING PURDUE ADMISSION,Upon acceptance: apply same day
